
 ### Family: 1 -> DNA-binding protein

	 KPJ79159.1	DNA-binding protein
	 WP_012861501.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OQX29580.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_133451942.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_077597998.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_033022956.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_116552988.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_194201622.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PID79562.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD

 ### Family: 64 -> ribosome maturation factor RimM

	 PKQ17358.1	16S rRNA processing protein RimM
	 OUM88321.1	hypothetical protein
	 KAF0208089.1	16S rRNA processing protein
	 WP_160846844.1	ribosome maturation factor RimM
	 WP_026867584.1	ribosome maturation factor RimM
	 WP_008520913.1	ribosome maturation factor RimM
	 WP_061569955.1	ribosome maturation factor RimM
	 WP_179860949.1	ribosome maturation factor RimM
	 WP_046510793.1	ribosome maturation factor RimM
	 WP_084053923.1	ribosome maturation factor RimM
	 PKO07035.1	16S rRNA processing protein RimM
	 WP_049671446.1	ribosome maturation factor RimM
	 WP_029165373.1	ribosome maturation factor RimM
	 WP_165252216.1	hypothetical protein
	 WP_113808293.1	ribosome maturation factor RimM
	 WP_069718755.1	ribosome maturation factor RimM
	 WP_158409298.1	ribosome maturation factor RimM
	 WP_168722523.1	ribosome maturation factor RimM
	 WP_124727618.1	ribosome maturation factor RimM
	 WP_138196692.1	ribosome maturation factor RimM
	 PID75102.1	16S rRNA processing protein RimM
	 KZD15132.1	hypothetical protein
	 WP_028264295.1	hypothetical protein
	 WP_121680454.1	ribosome maturation factor RimM
	 KAA0226198.1	16S rRNA processing protein RimM
	 WP_123208284.1	ribosome maturation factor RimM
	 WP_107942277.1	ribosome maturation factor RimM
	 WP_039232128.1	ribosome maturation factor RimM
	 AMB98949.1	ribosome maturation factor RimM
	 WP_089722706.1	ribosome maturation factor RimM
	 OJF16654.1	hypothetical protein
	 WP_095041879.1	ribosome maturation factor RimM
	 OLA43508.1	16S rRNA processing protein RimM
	 CDD67298.1	ribosome maturation factor RimM
	 TDI95162.1	16S rRNA processing protein RimM
	 OFW67047.1	16S rRNA processing protein RimM
	 WP_148940204.1	ribosome maturation factor RimM
	 WP_051682618.1	ribosome maturation factor RimM
	 WP_059350747.1	ribosome maturation factor RimM
	 PWM50525.1	16S rRNA processing protein RimM
	 PWL79276.1	16S rRNA processing protein RimM
	 WP_150262970.1	ribosome maturation factor RimM
	 TML43041.1	16S rRNA processing protein RimM
	 CAE79961.1	putative 16S rRNA processing protein
	 TSA16902.1	16S rRNA processing protein RimM
	 WP_131926250.1	ribosome maturation factor RimM
	 WP_133579270.1	ribosome maturation factor RimM
	 RLT24845.1	16S rRNA processing protein RimM
	 OLC57892.1	16S rRNA processing protein RimM
	 RIK01243.1	16S rRNA processing protein RimM
	 WP_019034892.1	ribosome maturation factor RimM
	 CBL06220.1	16S rRNA processing protein RimM
	 WP_012798237.1	ribosome maturation factor RimM
	 WP_040929191.1	ribosome maturation factor RimM
	 WP_066264721.1	ribosome maturation factor RimM
	 KAF0152634.1	16S rRNA processing protein RimM
	 TMM01376.1	16S rRNA processing protein RimM
	 WP_245526952.1	16S rRNA processing protein RimM
	 WP_091351127.1	ribosome maturation factor RimM
	 WP_172824795.1	ribosome maturation factor RimM
	 PYQ11328.1	16S rRNA processing protein RimM
	 WP_021939061.1	ribosome maturation factor RimM
	 WP_092478848.1	ribosome maturation factor RimM
	 WP_099680536.1	ribosome maturation factor RimM
	 WP_013047956.1	ribosome maturation factor RimM
	 TMC83629.1	16S rRNA processing protein RimM
	 WP_231699609.1	16S rRNA processing protein RimM
	 PIE57018.1	16S rRNA processing protein RimM
	 OGO26187.1	16S rRNA processing protein RimM
	 PZR60356.1	16S rRNA processing protein RimM
	 WP_097040388.1	ribosome maturation factor RimM
	 WP_246218248.1	ribosome maturation factor RimM
	 WP_162849610.1	ribosome maturation factor RimM
	 WP_119067953.1	ribosome maturation factor RimM
	 WP_023387860.1	ribosome maturation factor RimM
	 PZR62572.1	16S rRNA processing protein RimM
	 PSH03672.1	16S rRNA processing protein RimM
	 PSL51168.1	16S rRNA processing protein RimM
	 WP_003322050.1	ribosome maturation factor RimM
	 WP_076556691.1	ribosome maturation factor RimM
	 OQC43024.1	Ribosome maturation factor RimM
	 WP_044642607.1	ribosome maturation factor RimM
	 OQB21460.1	Ribosome maturation factor RimM
	 WP_245926329.1	ribosome maturation factor RimM
	 TMK87267.1	16S rRNA processing protein RimM
	 WP_091790856.1	ribosome maturation factor RimM
	 WP_082867861.1	hypothetical protein
	 PLS75805.1	16S rRNA processing protein RimM
	 PKQ28812.1	16S rRNA processing protein RimM
	 TME15658.1	16S rRNA processing protein RimM
	 WP_135346906.1	ribosome maturation factor RimM
	 OQB15765.1	Ribosome maturation factor RimM
	 PZM91785.1	16S rRNA processing protein RimM
	 WP_088006012.1	ribosome maturation factor RimM
	 OQY91748.1	16S rRNA processing protein RimM
	 WP_241159133.1	16S rRNA processing protein RimM
	 PWL41574.1	16S rRNA processing protein RimM
	 WP_012861500.1	ribosome maturation factor RimM
	 OQX29579.1	16S rRNA processing protein RimM
	 WP_260424552.1	ribosome maturation factor RimM
	 WP_133451943.1	ribosome maturation factor RimM
	 WP_234966854.1	16S rRNA processing protein RimM
	 WP_033022955.1	ribosome maturation factor RimM
	 WP_116552987.1	ribosome maturation factor RimM
	 WP_155111255.1	ribosome maturation factor RimM
	 PID79561.1	16S rRNA processing protein RimM

 ### Family: 65 -> signal peptidase I

	 PKQ17362.1	signal peptidase I
	 PKQ17357.1	signal peptidase I
	 PKQ17356.1	signal peptidase I
	 OUM88403.1	signal peptidase I
	 KAF0208084.1	signal peptidase
	 KAF0208091.1	signal peptidase
	 WP_040228100.1	signal peptidase I
	 WP_165059985.1	signal peptidase I
	 WP_124727616.1	signal peptidase I
	 WP_138196689.1	signal peptidase I
	 WP_028264293.1	signal peptidase I
	 KAA0226195.1	signal peptidase I
	 WP_123208286.1	signal peptidase I
	 TMM13714.1	signal peptidase I
	 WP_107942278.1	signal peptidase I
	 OJF16659.1	signal peptidase I
	 CDD67300.1	signal peptidase I
	 OFW67046.1	signal peptidase I
	 PWL79274.1	signal peptidase I
	 TML43044.1	signal peptidase I
	 WP_131926254.1	signal peptidase I
	 WP_012798239.1	signal peptidase I
	 TMM01374.1	signal peptidase I
	 WP_013708728.1	signal peptidase I
	 WP_091351124.1	signal peptidase I
	 WP_092478845.1	signal peptidase I
	 WP_173112702.1	signal peptidase I
	 OGF52863.1	signal peptidase I
	 WP_044642967.1	signal peptidase I
	 TMK87278.1	signal peptidase I
	 WP_066661789.1	signal peptidase I
	 PLS75808.1	signal peptidase I
	 PKQ28813.1	signal peptidase I
	 WP_088005907.1	signal peptidase I
	 WP_165044309.1	signal peptidase I
	 WP_077597997.1	signal peptidase I

 ### Family: 66 -> imidazole glycerol phosphate synthase subunit HisF

	 WP_011431091.1	imidazole glycerol phosphate synthase subunit HisF
	 WP_155082903.1	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase

 ### Family: 67 -> GTPase ObgE

	 WP_071455491.1	GTPase ObgE
	 BAG05583.1	GTP-binding protein
	 WP_194014224.1	GTPase ObgE
	 RIK01242.1	hypothetical protein

 ### Family: 68 -> SDR family oxidoreductase

	 WP_071455492.1	SDR family oxidoreductase
	 BAZ39803.1	short-chain dehydrogenase/reductase SDR
	 WP_006511792.1	SDR family oxidoreductase
	 WP_146296173.1	3-oxoacyl-ACP reductase FabG
	 PZR60352.1	beta-ketoacyl-ACP reductase
	 PZR60357.1	short-chain dehydrogenase

 ### Family: 69 -> aspartate aminotransferase

	 WP_006453858.1	aspartate aminotransferase
	 CBL28402.1	Aspartate/tyrosine/aromatic aminotransferase

 ### Family: 70 -> heme utilization protein HuvX

	 CDM93751.1	conserved protein of unknown function
	 WP_067774029.1	heme utilization protein HuvX
	 KST67720.1	heme utilization protein HuvX
	 WP_069967884.1	heme utilization protein HuvX
	 WP_168571635.1	heme utilization protein HuvX
	 OKH36041.1	heme utilization protein HuvX
	 ERT09204.1	hypothetical protein

 ### Family: 71 -> DEAD/DEAH box helicase

	 WP_121967812.1	DEAD/DEAH box helicase
	 WP_006457724.1	DEAD/DEAH box helicase

 ### Family: 72 -> hypothetical protein

	 WP_026097338.1	hypothetical protein
	 WP_017658666.1	hypothetical protein

 ### Family: 73 -> photosystem II reaction center protein PsbN

	 WP_080808177.1	photosystem II reaction center protein PsbN
	 WP_121967816.1	photosystem II reaction center protein PsbN
	 WP_006457718.1	photosystem II reaction center protein PsbN
	 WP_073607618.1	photosystem II reaction center protein PsbN

 ### Family: 74 -> photosystem II reaction center protein PsbH

	 WP_080808173.1	photosystem II reaction center protein PsbH
	 WP_121967817.1	photosystem II reaction center protein PsbH
	 WP_038016562.1	photosystem II reaction center protein PsbH
	 WP_073607619.1	photosystem II reaction center protein PsbH

 ### Family: 75 -> TatA/E family twin arginine-targeting protein translocase

	 WP_080808148.1	TatA/E family twin arginine-targeting protein translocase
	 WP_073607620.1	TatA/E family twin arginine-targeting protein translocase

 ### Family: 76 -> DUF2252 domain-containing protein

	 OUC15101.1	hypothetical protein
	 WP_068817856.1	DUF2252 domain-containing protein

 ### Family: 77 -> Hemolysins-related protein containing CBS domains

	 AIE75568.1	Hemolysins-related protein containing CBS domains
	 WP_088243777.1	hemolysin family protein
	 PZV25623.1	hypothetical protein

 ### Family: 78 -> tetratricopeptide repeat protein

	 WP_019500121.1	tetratricopeptide repeat protein
	 WP_019500120.1	tetratricopeptide repeat protein

 ### Family: 79 -> DUF4278 domain-containing protein

	 WP_169613985.1	DUF4278 domain-containing protein
	 WP_073607613.1	DUF4278 domain-containing protein

 ### Family: 80 -> 6-carboxytetrahydropterin synthase

	 WP_169613986.1	6-carboxytetrahydropterin synthase
	 WP_073607614.1	6-carboxytetrahydropterin synthase

 ### Family: 81 -> aspartate--tRNA ligase

	 WP_040655547.1	aspartate--tRNA ligase
	 PWL79432.1	aspartate--tRNA ligase

 ### Family: 82 -> methionyl-tRNA formyltransferase

	 WP_022606382.1	methionyl-tRNA formyltransferase
	 PCI38743.1	methionyl-tRNA formyltransferase
	 OGS05590.1	methionyl-tRNA formyltransferase
	 OGR58989.1	methionyl-tRNA formyltransferase

 ### Family: 83 -> asparaginase

	 WP_015126248.1	asparaginase
	 OLP20297.1	asparaginase

 ### Family: 84 -> hypothetical protein

	 WP_171971701.1	hypothetical protein
	 WP_067774026.1	hypothetical protein
	 WP_015200943.1	hypothetical protein
	 WP_071102118.1	hypothetical protein
	 WP_241829324.1	hypothetical protein
	 WP_246259778.1	hypothetical protein
	 AFY81345.1	hypothetical protein
	 OKH36040.1	hypothetical protein
	 ERT09093.1	hypothetical protein

 ### Family: 85 -> Demethylmenaquinone methyltransferase

	 PZD71762.1	Demethylmenaquinone methyltransferase
	 OUC15100.1	SAM-dependent methyltransferase

 ### Family: 86 -> Soluble epoxide hydrolase

	 PZD71786.1	Soluble epoxide hydrolase
	 WP_015192777.1	alpha/beta hydrolase

 ### Family: 87 -> hypothetical protein

	 WP_175551105.1	hypothetical protein
	 WP_193372405.1	hypothetical protein

 ### Family: 88 -> ACP S-malonyltransferase

	 QLL29337.1	ACP S-malonyltransferase
	 PIE57021.1	[acyl-carrier-protein] S-malonyltransferase

 ### Family: 89 -> 1-acyl-sn-glycerol-3-phosphate acyltransferase

	 AXY68225.1	1-acyl-sn-glycerol-3-phosphate acyltransferase
	 TVQ43655.1	1-acyl-sn-glycerol-3-phosphate acyltransferase

 ### Family: 90 -> SsrA-binding protein SmpB

	 WP_015166539.1	SsrA-binding protein SmpB
	 WP_025228704.1	SsrA-binding protein SmpB

 ### Family: 91 -> competence/damage-inducible protein A

	 WP_015166537.1	competence/damage-inducible protein A
	 WP_019500116.1	competence/damage-inducible protein A
	 PZV10927.1	competence/damage-inducible protein A

 ### Family: 92 -> hypothetical protein

	 PSP15032.1	hypothetical protein
	 PSP17125.1	hypothetical protein

 ### Family: 93 -> hypothetical protein

	 PSP15033.1	hypothetical protein
	 PSP17126.1	hypothetical protein

 ### Family: 94 -> ankyrin repeat domain-containing protein

	 WP_069790864.1	ankyrin repeat domain-containing protein
	 WP_017295261.1	ankyrin repeat domain-containing protein

 ### Family: 95 -> 30S ribosomal protein S21

	 AFY67791.1	SSU ribosomal protein S21P
	 AXY68228.1	30S ribosomal protein S21
	 WP_015126245.1	30S ribosomal protein S21
	 WP_071592280.1	30S ribosomal protein S21
	 WP_011142630.1	30S ribosomal protein S21
	 QFZ91839.1	30S ribosomal protein S21
	 OUC15091.1	30S ribosomal protein S21
	 WP_010996119.1	30S ribosomal protein S21
	 BAZ39801.1	30S ribosomal protein S21
	 WP_096691559.1	30S ribosomal protein S21
	 OLP20416.1	30S ribosomal protein S21
	 WP_238718351.1	30S ribosomal protein S21
	 OKH36043.1	30S ribosomal protein S21

 ### Family: 96 -> TIGR01777 family oxidoreductase

	 WP_036482481.1	TIGR01777 family oxidoreductase
	 WP_019504517.1	TIGR01777 family oxidoreductase

 ### Family: 97 -> PetM family cytochrome b6-f complex subunit 7

	 WP_036482478.1	PetM family cytochrome b6-f complex subunit 7
	 WP_015192776.1	PetM family cytochrome b6-f complex subunit 7
	 WP_019504519.1	PetM family cytochrome b6-f complex subunit 7

 ### Family: 98 -> 4-hydroxythreonine-4-phosphate dehydrogenase PdxA

	 WP_036482475.1	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
	 WP_015192775.1	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
	 WP_019504520.1	4-hydroxythreonine-4-phosphate dehydrogenase PdxA

 ### Family: 99 -> signal recognition particle protein

	 WP_036482466.1	signal recognition particle protein
	 PSP15037.1	signal recognition particle protein
	 WP_015166534.1	signal recognition particle protein
	 PZD71742.1	Signal recognition particle protein
	 TVQ19914.1	signal recognition particle protein
	 WP_019500119.1	signal recognition particle protein
	 WP_023172070.1	signal recognition particle protein
	 QFZ91842.1	signal recognition particle protein
	 OUC15094.1	signal recognition particle protein
	 WP_166274710.1	signal recognition particle protein
	 CDM93746.1	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)
	 PKQ17363.1	signal recognition particle-docking protein FtsY
	 PKQ17361.1	signal recognition particle protein
	 WP_148133818.1	signal recognition particle protein
	 OUM88317.1	signal recognition particle-docking protein FtsY
	 OUM88319.1	signal recognition particle protein
	 KAF0208085.1	signal recognition particle subunit
	 WP_160846849.1	signal recognition particle-docking protein FtsY
	 WP_160846847.1	signal recognition particle protein
	 WP_026867579.1	signal recognition particle-docking protein FtsY
	 WP_026867581.1	signal recognition particle protein
	 KQC14145.1	signal recognition particle
	 WP_008520906.1	signal recognition particle protein
	 PSP17129.1	signal recognition particle protein
	 WP_061569959.1	signal recognition particle-docking protein FtsY
	 WP_061569957.1	signal recognition particle protein
	 WP_067774039.1	signal recognition particle protein
	 WP_088243772.1	signal recognition particle protein
	 WP_085727248.1	signal recognition particle protein
	 BAZ39798.1	signal recognition particle protein
	 WP_096691556.1	signal recognition particle protein
	 WP_015200938.1	signal recognition particle protein
	 WP_015116531.1	signal recognition particle protein
	 OLP20295.1	signal recognition particle protein
	 KST67724.1	signal recognition particle
	 WP_071102124.1	signal recognition particle protein
	 WP_068817855.1	signal recognition particle protein
	 KOR37596.1	signal recognition particle
	 WP_015192772.1	signal recognition particle protein
	 WP_069967888.1	signal recognition particle protein
	 EDX73345.1	signal recognition particle protein
	 WP_168571631.1	signal recognition particle protein
	 AFY81341.1	signal recognition particle subunit FFH/SRP54 (srp54)
	 WP_106287115.1	signal recognition particle protein
	 WP_006528477.1	signal recognition particle protein
	 WP_019504523.1	signal recognition particle protein
	 OKH36046.1	signal recognition particle protein
	 ERT09107.1	signal recognition particle protein
	 WP_040228090.1	signal recognition particle-docking protein FtsY
	 WP_040228092.1	signal recognition particle protein
	 WP_046510779.1	signal recognition particle-docking protein FtsY
	 WP_046510785.1	signal recognition particle protein
	 WP_084053919.1	signal recognition particle protein
	 PKO07038.1	signal recognition particle protein
	 WP_049671452.1	signal recognition particle-docking protein FtsY
	 WP_049671450.1	signal recognition particle protein
	 WP_029165376.1	signal recognition particle protein
	 WP_113808287.1	signal recognition particle-docking protein FtsY
	 WP_113808289.1	signal recognition particle protein
	 OQY14479.1	signal recognition particle protein
	 WP_069718749.1	signal recognition particle-docking protein FtsY
	 WP_069718751.1	signal recognition particle protein
	 WP_025228700.1	signal recognition particle protein
	 WP_124727623.1	signal recognition particle-docking protein FtsY
	 WP_124727621.1	signal recognition particle protein
	 WP_138196695.1	signal recognition particle protein
	 PID75099.1	signal recognition particle protein
	 KZD15134.1	hypothetical protein
	 WP_121680297.1	signal recognition particle-docking protein FtsY
	 WP_121680295.1	signal recognition particle protein
	 KAA0226201.1	signal recognition particle protein
	 TMM13718.1	signal recognition particle protein
	 WP_066169950.1	signal recognition particle-docking protein FtsY
	 WP_066169956.1	signal recognition particle protein
	 WP_039232110.1	signal recognition particle-docking protein FtsY
	 WP_039232116.1	signal recognition particle protein
	 AMB98954.1	signal recognition particle
	 WP_089716686.1	signal recognition particle-docking protein FtsY
	 WP_089722704.1	signal recognition particle protein
	 OJF16650.1	signal recognition particle-docking protein FtsY
	 OJF16651.1	signal recognition particle protein
	 WP_095041881.1	signal recognition particle protein
	 OLA43505.1	signal recognition particle protein
	 CDD67294.1	signal recognition particle receptor FtsY
	 CDD67295.1	signal recognition particle protein
	 PYI93899.1	signal recognition particle protein
	 OFW67050.1	signal recognition particle protein
	 WP_148940212.1	signal recognition particle-docking protein FtsY
	 WP_148940210.1	signal recognition particle protein
	 WP_037974866.1	signal recognition particle protein
	 WP_059282574.1	signal recognition particle-docking protein FtsY
	 WP_059350744.1	signal recognition particle protein
	 PWM50529.1	signal recognition particle protein
	 WP_029949040.1	signal recognition particle-docking protein FtsY
	 WP_248109510.1	signal recognition particle protein
	 TML43039.1	signal recognition particle protein
	 CAE79964.1	signal recognition particle protein
	 TSA16905.1	signal recognition particle protein
	 PCI74300.1	signal recognition particle protein
	 WP_131926240.1	signal recognition particle-docking protein FtsY
	 WP_131926244.1	signal recognition particle protein
	 WP_133579262.1	signal recognition particle-docking protein FtsY
	 WP_133579264.1	signal recognition particle protein
	 RLT24848.1	signal recognition particle protein
	 WP_138268651.1	signal recognition particle protein
	 OLC57889.1	signal recognition particle protein
	 RIK01246.1	signal recognition particle protein
	 WP_019034894.1	signal recognition particle-docking protein FtsY
	 WP_004825658.1	signal recognition particle protein
	 WP_070710340.1	signal recognition particle-docking protein FtsY
	 WP_070457661.1	signal recognition particle protein
	 WP_066264730.1	signal recognition particle-docking protein FtsY
	 WP_066264728.1	signal recognition particle protein
	 KAF0152637.1	signal recognition particle protein
	 TMM01379.1	signal recognition particle protein
	 KKP25999.1	Signal recognition particle protein
	 CBL28404.1	signal recognition particle subunit FFH/SRP54 (srp54)
	 WP_091351129.1	signal recognition particle protein
	 RKU28276.1	signal recognition particle protein
	 KKP35794.1	Signal recognition particle protein
	 PYQ11331.1	signal recognition particle protein
	 WP_021939058.1	signal recognition particle protein
	 WP_092478867.1	signal recognition particle protein
	 WP_099680531.1	signal recognition particle-docking protein FtsY
	 WP_099680533.1	signal recognition particle protein
	 WP_013047953.1	signal recognition particle protein
	 TMC83626.1	signal recognition particle protein
	 PIE57020.1	signal recognition particle protein
	 OGO26178.1	signal recognition particle protein
	 PZR60354.1	signal recognition particle protein
	 WP_097040377.1	signal recognition particle-docking protein FtsY
	 WP_097040382.1	signal recognition particle protein
	 WP_165199473.1	signal recognition particle-docking protein FtsY
	 WP_165199469.1	signal recognition particle protein
	 TSA29765.1	signal recognition particle protein
	 WP_240432598.1	signal recognition particle-docking protein FtsY
	 WP_240432599.1	signal recognition particle protein
	 OGF52860.1	signal recognition particle protein
	 WP_023387855.1	signal recognition particle-docking protein FtsY
	 WP_023387857.1	signal recognition particle protein
	 PZR62577.1	signal recognition particle-docking protein FtsY
	 PZR62576.1	signal recognition particle protein
	 PSL51162.1	fused signal recognition particle receptor
	 PSL51164.1	signal recognition particle subunit FFH/SRP54 (srp54)
	 WP_003322057.1	signal recognition particle-docking protein FtsY
	 WP_003322055.1	signal recognition particle protein
	 WP_076556697.1	signal recognition particle-docking protein FtsY
	 WP_076556695.1	signal recognition particle protein
	 WP_044642604.1	signal recognition particle protein
	 OQB21463.1	Signal recognition particle protein
	 WP_109430891.1	signal recognition particle-docking protein FtsY
	 WP_109430892.1	signal recognition particle protein
	 WP_027889694.1	signal recognition particle protein
	 TMK87270.1	signal recognition particle protein
	 WP_091790860.1	signal recognition particle protein
	 WP_082867860.1	signal recognition particle-docking protein FtsY
	 WP_066661772.1	signal recognition particle protein
	 PLS75803.1	signal recognition particle protein
	 PKQ28807.1	signal recognition particle-docking protein FtsY
	 PKQ28809.1	signal recognition particle protein
	 TME15661.1	signal recognition particle protein
	 WP_135346901.1	signal recognition particle-docking protein FtsY
	 WP_135346903.1	signal recognition particle protein
	 OQB15768.1	Signal recognition particle protein
	 WP_088005901.1	signal recognition particle-docking protein FtsY
	 WP_088005902.1	signal recognition particle protein
	 OQY91745.1	signal recognition particle protein
	 WP_165247046.1	signal recognition particle-docking protein FtsY
	 WP_165247048.1	signal recognition particle protein
	 PWL41569.1	signal recognition particle-docking protein FtsY
	 PWL41571.1	signal recognition particle protein
	 OQX29576.1	signal recognition particle protein
	 WP_124791571.1	signal recognition particle protein
	 PWM34129.1	signal recognition particle protein
	 WP_061912709.1	signal recognition particle-docking protein FtsY
	 WP_033022952.1	signal recognition particle protein
	 WP_116552981.1	signal recognition particle-docking protein FtsY
	 WP_116552983.1	signal recognition particle protein
	 WP_155111251.1	signal recognition particle protein
	 PID79559.1	signal recognition particle protein

 ### Family: 100 -> TlyA family RNA methyltransferase

	 WP_253274260.1	TlyA family rRNA (cytidine-2'-O)-methyltransferase
	 WP_017658661.1	TlyA family RNA methyltransferase
	 WP_019504524.1	TlyA family RNA methyltransferase

 ### Family: 101 -> FHA domain-containing protein

	 WP_036482463.1	FHA domain-containing protein
	 WP_019504525.1	FHA domain-containing protein

 ### Family: 102 -> insulinase family protein

	 WP_024544477.1	insulinase family protein
	 WP_065710103.1	insulinase family protein
	 WP_075889509.1	insulinase family protein

 ### Family: 103 -> GTPase Era

	 WP_024544478.1	GTPase Era
	 WP_065710101.1	GTPase Era
	 WP_075889507.1	GTPase Era

 ### Family: 104 -> chorismate lyase

	 WP_024544481.1	chorismate lyase
	 WP_232308993.1	chorismate lyase
	 WP_075889501.1	chorismate lyase

 ### Family: 105 -> 4-hydroxy-3-methylbut-2-enyl diphosphate reductase

	 WP_024544482.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
	 WP_065710100.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase

 ### Family: 106 -> Ycf66 family protein

	 WP_024544483.1	Ycf66 family protein
	 WP_065710099.1	Ycf66 family protein

 ### Family: 107 -> ISAs1 family transposase

	 WP_015228074.1-4	ISAs1 family transposase

 ### Family: 108 -> PhoH family protein

	 WP_015230631.1	PhoH family protein
	 QLL29338.1	PhoH family protein
	 WP_217650546.1	PhoH family protein
	 PZD71777.1	PhoH-like protein
	 WP_015126246.1	PhoH family protein
	 WP_022606391.1	PhoH family protein
	 TVQ19911.1	PhoH family protein
	 WP_169613987.1	PhoH family protein
	 QFZ91838.1	PhoH family protein
	 OUC15090.1	phosphate starvation-inducible protein PhoH
	 WP_166274716.1	PhoH family protein
	 WP_080808156.1	PhoH family protein
	 WP_017658662.1	PhoH family protein
	 WP_240518588.1	PhoH family protein
	 CDM93750.1	PhoH-like protein
	 WP_038016558.1	PhoH family protein
	 WP_230402775.1	PhoH family protein
	 WP_067774031.1	PhoH family protein
	 WP_009344402.1	PhoH family protein
	 BAZ39802.1	PhoH family protein
	 WP_096691560.1	PhoH family protein
	 WP_015200941.1	PhoH family protein
	 WP_015116528.1	PhoH family protein
	 OLP20293.1	phosphate starvation-inducible protein PhoH
	 KST67721.1	phosphate starvation-inducible protein PhoH
	 WP_071102120.1	PhoH family protein
	 RMG07957.1	PhoH family protein
	 WP_068817852.1	PhoH family protein
	 KOR37598.1	phosphate starvation-inducible protein PhoH
	 WP_069967885.1	PhoH family protein
	 WP_068390410.1	PhoH family protein
	 WP_106258365.1	PhoH family protein
	 WP_162425298.1	PhoH family protein
	 WP_073607615.1	PhoH family protein
	 EDX73303.1	PhoH family protein
	 RNJ67071.1	PhoH family protein
	 WP_168571634.1	PhoH family protein
	 AFY81344.1	phosphate starvation-inducible protein PhoH%2C predicted ATPase
	 WP_106287138.1	PhoH family protein
	 WP_161825901.1	PhoH family protein
	 WP_015224604.1	PhoH family protein
	 WP_017304340.1	PhoH family protein
	 WP_146296167.1	PhoH family protein
	 OKH36042.1	phosphate starvation-inducible protein PhoH
	 ERT09138.1	DEAD/DEAH box helicase family protein

 ### Family: 109 -> 30S ribosomal protein S16

	 WP_015230633.1	30S ribosomal protein S16
	 WP_024544480.1	30S ribosomal protein S16
	 WP_036482469.1	30S ribosomal protein S16
	 AFY67792.1	SSU ribosomal protein S16P
	 WP_069790863.1	30S ribosomal protein S16
	 PSP15036.1	30S ribosomal protein S16
	 WP_015166535.1	30S ribosomal protein S16
	 WP_030007128.1	30S ribosomal protein S16
	 AXY68226.1	30S ribosomal protein S16
	 WP_072620599.1	30S ribosomal protein S16
	 PZD71844.1	30S ribosomal protein S16
	 WP_075889503.1	30S ribosomal protein S16
	 WP_015126243.1	30S ribosomal protein S16
	 WP_022606387.1	30S ribosomal protein S16
	 TVQ19913.1	30S ribosomal protein S16
	 WP_169613989.1	30S ribosomal protein S16
	 WP_019500118.1	30S ribosomal protein S16
	 WP_041243701.1	30S ribosomal protein S16
	 QFZ91841.1	30S ribosomal protein S16
	 PZV10929.1	30S ribosomal protein S16
	 AIE75569.1	SSU ribosomal protein S16p
	 OUC15093.1	30S ribosomal protein S16
	 WP_166274712.1	30S ribosomal protein S16
	 WP_088429435.1	30S ribosomal protein S16
	 WP_017658664.1	30S ribosomal protein S16
	 WP_121967815.1	30S ribosomal protein S16
	 TVQ43652.1	30S ribosomal protein S16
	 CDM93747.1	30S ribosomal subunit protein S16
	 WP_006454975.1	30S ribosomal protein S16
	 WP_071455490.1	30S ribosomal protein S16
	 PKQ17360.1	30S ribosomal protein S16
	 WP_148133816.1	30S ribosomal protein S16
	 OUM88320.1	30S ribosomal protein S16
	 KAF0208087.1	small subunit ribosomal protein
	 PCI38740.1	30S ribosomal protein S16
	 WP_160846846.1	30S ribosomal protein S16
	 WP_026867582.1	30S ribosomal protein S16
	 KQC14146.1	30S ribosomal protein S16
	 WP_008522765.1	30S ribosomal protein S16
	 PSP17128.1	30S ribosomal protein S16
	 WP_020156289.1	30S ribosomal protein S16
	 WP_067774036.1	30S ribosomal protein S16
	 WP_088243774.1	30S ribosomal protein S16
	 WP_009344400.1	30S ribosomal protein S16
	 BAZ39799.1	30S ribosomal protein S16
	 WP_096691557.1	30S ribosomal protein S16
	 WP_015200939.1	30S ribosomal protein S16
	 WP_015116530.1	30S ribosomal protein S16
	 OLP20294.1	30S ribosomal protein S16
	 KST67723.1	30S ribosomal protein S16
	 WP_015144818.1	30S ribosomal protein S16
	 WP_071102122.1	30S ribosomal protein S16
